RAM,CPU,Battery,Internal,Class,Range,Network_type
1,2.5,28,32,1,6,Bluetooth
4,3.1,8,32,3,44,MANET
4,3.5,14,32,3,82,MANET
6,2.7,48,4,2,40,MANET
2,1.2,29,4,2,56,MANET
1,2.6,60,32,1,2,Bluetooth
4,1.7,86,4,2,24,MANET
2,3.0,73,32,1,91,MANET
3,2.4,50,32,1,24,MANET
1,1.3,71,64,1,65,MANET
6,1.2,61,4,2,44,MANET
4,1.2,65,4,2,142,DTN
2,3.1,28,8,2,44,MANET
1,2.4,74,32,1,148,DTN
3,2.4,71,32,1,12,MANET
4,1.0,100,8,2,77,MANET
6,3.2,14,4,4,95,MANET
1,3.4,94,16,2,133,DTN
3,2.2,83,4,2,3,Bluetooth
8,2.6,79,64,1,134,DTN
6,2.1,75,16,2,13,MANET
1,3.0,96,8,2,27,MANET
4,1.1,52,16,2,61,MANET
2,2.4,44,32,1,129,DTN
2,3.3,84,64,1,79,MANET
8,2.4,16,64,3,122,DTN
2,2.1,60,4,2,135,DTN
1,3.4,67,16,2,98,MANET
8,2.6,84,32,1,80,MANET
2,2.3,5,8,4,86,MANET
4,2.9,62,16,2,28,MANET
8,1.9,19,16,4,123,DTN
4,2.6,93,64,1,92,MANET
6,2.0,82,64,1,16,MANET
6,2.1,77,4,2,60,MANET
4,2.6,7,4,4,130,DTN
8,2.9,21,16,2,103,DTN
3,1.9,56,8,2,82,MANET
6,3.1,68,32,1,80,MANET
8,3.4,79,8,2,26,MANET
8,2.0,35,32,1,42,MANET
6,1.2,54,32,1,76,MANET
6,2.6,30,32,1,107,DTN
2,3.2,45,16,2,131,DTN
4,3.2,26,16,2,27,MANET
2,2.8,18,8,4,77,MANET
8,3.1,77,64,1,120,DTN
3,1.5,50,8,2,94,MANET
4,2.0,48,32,1,42,MANET
6,3.1,87,32,1,102,DTN
3,3.2,25,32,1,127,DTN
3,2.7,85,32,1,48,MANET
2,3.4,69,4,2,111,DTN
4,2.3,71,16,2,93,MANET
8,3.4,73,8,2,63,MANET
8,2.0,78,64,1,59,MANET
6,2.6,81,32,1,20,MANET
8,2.9,32,64,1,68,MANET
2,3.0,90,32,1,114,DTN
2,1.2,84,64,1,87,MANET
6,1.2,58,4,2,28,MANET
8,1.4,64,4,2,96,MANET
4,1.2,55,8,2,133,DTN
3,2.3,6,4,4,46,MANET
8,3.4,95,4,2,138,DTN
1,2.6,45,16,2,133,DTN
1,3.1,59,4,2,131,DTN
8,1.4,59,16,2,1,Bluetooth
1,3.3,36,32,1,59,MANET
8,2.4,89,64,1,102,DTN
3,1.5,29,64,1,3,Bluetooth
2,2.2,70,16,2,131,DTN
6,3.3,6,4,4,43,MANET
3,2.6,69,8,2,115,DTN
6,3.0,64,8,2,31,MANET
2,2.9,8,64,3,16,MANET
2,1.5,14,32,3,56,MANET
1,2.0,61,16,2,48,MANET
1,2.8,70,64,1,121,DTN
4,2.6,43,8,2,29,MANET
3,1.5,30,8,2,116,DTN
4,1.1,60,8,2,46,MANET
2,2.3,94,4,2,32,MANET
3,1.8,96,8,2,149,DTN
1,1.1,89,8,2,138,DTN
4,1.2,94,64,1,58,MANET
3,2.4,60,32,1,99,MANET
1,1.7,51,64,1,32,MANET
6,1.8,53,64,1,116,DTN
6,3.2,87,32,1,126,DTN
4,1.3,36,4,2,4,Bluetooth
6,1.9,36,4,2,130,DTN
4,2.2,74,8,2,26,MANET
3,1.5,77,64,1,41,MANET
4,3.1,29,32,1,55,MANET
4,2.1,22,4,2,56,MANET
1,1.9,91,8,2,110,DTN
6,1.5,82,32,1,74,MANET
1,2.9,77,16,2,41,MANET
3,3.0,43,4,2,80,MANET
1,2.4,44,16,2,108,DTN
6,2.7,58,64,1,44,MANET
4,1.8,14,4,4,143,DTN
4,1.3,34,16,2,99,MANET
6,3.2,17,64,3,81,MANET
6,1.3,49,64,1,37,MANET
2,2.6,61,64,1,108,DTN
4,2.9,42,64,1,139,DTN
6,1.1,38,8,2,111,DTN
3,1.5,7,32,3,138,DTN
3,1.4,53,64,1,134,DTN
4,1.1,42,8,2,4,Bluetooth
6,1.7,64,4,2,108,DTN
3,3.1,75,8,2,77,MANET
6,3.4,84,8,2,61,MANET
