RAM,CPU,Battery,Internal,Class,Range,Network_type
2,1.2,7,16,4,79,MANET
1,3.2,6,64,3,43,MANET
3,2.8,6,32,3,13,MANET
4,2.5,5,8,4,89,MANET
4,1.4,7,4,4,14,MANET
2,1.7,5,64,3,65,MANET
8,1.8,6,32,3,11,MANET
1,1.8,8,16,4,148,DTN
2,3.5,10,8,4,46,MANET
4,3.3,9,8,4,58,MANET
1,1.8,7,4,4,10,Bluetooth
4,3.4,6,8,4,144,DTN
8,2.4,6,16,4,118,DTN
4,1.1,5,4,4,107,DTN
1,2.8,9,32,3,143,DTN
4,2,5,64,3,5,Bluetooth
8,2.5,10,4,4,59,MANET
3,1.5,9,4,4,118,DTN
6,3,5,64,3,14,MANET
4,2.7,7,64,3,84,MANET
2,1.4,7,8,4,17,MANET
4,1.3,7,16,4,13,MANET
2,3.2,10,64,3,39,MANET
8,1.5,5,64,3,124,DTN
3,2.2,9,64,3,142,DTN
3,1.2,7,32,3,34,MANET
8,1.9,9,64,3,114,DTN
2,3.3,10,16,4,39,MANET
1,1.4,5,16,4,23,MANET
6,1.6,8,64,3,142,DTN
3,1.2,7,4,4,49,MANET
1,1.9,7,64,3,135,DTN
1,1,8,32,3,3,Bluetooth
6,3.3,8,8,4,110,DTN
1,3.1,5,8,4,122,DTN
2,3.1,7,16,4,48,MANET
8,3,8,16,4,139,DTN
6,2.3,7,4,4,62,MANET
4,1.2,7,16,4,46,MANET
6,1.2,7,32,3,67,MANET
4,2,7,32,3,7,Bluetooth
2,1.3,5,64,3,64,MANET
2,3.3,10,8,4,118,DTN
1,2.6,8,32,3,78,MANET
4,2.8,9,8,4,41,MANET
4,1.8,8,4,4,22,MANET
8,2.4,9,4,4,147,DTN
4,2.1,7,8,4,139,DTN
1,2.9,5,4,4,148,DTN
2,1.5,10,32,3,104,DTN
4,1.3,7,16,4,91,MANET
6,2.8,9,32,3,110,DTN
1,2.7,5,64,3,70,MANET
1,1.3,5,32,3,68,MANET
3,2.2,7,16,4,14,MANET
1,1,6,32,3,97,MANET
6,3.2,10,32,3,4,Bluetooth
3,1.4,5,32,3,10,Bluetooth
3,1.3,6,64,3,126,DTN
4,2.9,7,8,4,8,Bluetooth
8,2.8,5,64,3,47,MANET
2,1.9,7,8,4,25,MANET
4,1.4,7,4,4,136,DTN
2,2.2,6,4,4,108,DTN
1,1.5,6,64,3,6,Bluetooth
3,3,8,8,4,125,DTN
1,1.8,7,16,4,81,MANET
3,1.4,9,32,3,14,MANET
8,3,9,4,4,104,DTN
6,1.5,8,8,4,67,MANET
8,2.3,9,32,3,125,DTN
3,2.9,6,8,4,117,DTN
1,2.7,7,4,4,14,MANET
6,2.2,5,64,3,54,MANET
8,1.8,8,16,4,94,MANET
8,1.1,5,4,4,140,DTN
4,3,6,32,3,31,MANET
2,1.9,8,4,4,72,MANET
8,2.3,10,64,3,49,MANET
1,2.1,5,64,3,37,MANET
4,3.5,5,4,4,12,MANET
2,1.7,9,8,4,19,MANET
2,2.6,6,4,4,79,MANET
8,1.3,5,8,4,56,MANET
8,3.1,5,16,4,41,MANET
6,2.1,9,64,3,33,MANET
3,1.7,6,16,4,89,MANET
3,3,7,64,3,4,Bluetooth
4,2.1,6,64,3,75,MANET
3,2.4,8,64,3,36,MANET
2,1.1,6,32,3,33,MANET
2,2.2,10,8,4,86,MANET
3,2.6,10,16,4,55,MANET
6,1.6,9,4,4,97,MANET
6,2.7,10,4,4,149,DTN
2,3,7,64,3,59,MANET
6,1.3,5,8,4,82,MANET
6,2.1,6,8,4,72,MANET
4,1.1,8,8,4,6,Bluetooth
2,1.9,7,32,3,135,DTN
4,1.9,5,4,4,33,MANET
3,2.7,5,4,4,134,DTN
4,1.4,6,8,4,82,MANET
4,2.9,10,32,3,96,MANET
8,1.8,9,64,3,108,DTN
2,3.3,8,4,4,11,MANET
2,1.4,6,8,4,135,DTN
4,1.2,7,8,4,143,DTN
1,2.3,9,4,4,30,MANET
8,1.7,10,4,4,106,DTN
4,1.5,7,16,4,105,DTN
1,2.2,5,64,3,4,Bluetooth
3,2.4,5,32,3,96,MANET
1,2.8,10,64,3,78,MANET
2,2.4,6,4,4,147,DTN
6,3.3,9,4,4,32,MANET
3,3.1,8,8,4,145,DTN
2,1.4,8,64,3,95,MANET
4,3,10,32,3,90,MANET
8,2.6,8,64,3,11,MANET
1,2.8,7,8,4,103,DTN
6,1.1,5,32,3,115,DTN
4,2.5,8,16,4,8,Bluetooth
3,2.7,7,4,4,99,MANET
6,2.1,5,16,4,147,DTN
2,1.6,7,4,4,106,DTN
3,1.9,6,8,4,68,MANET
3,2.7,6,4,4,51,MANET
8,2.5,6,16,4,58,MANET
3,2.1,6,16,4,145,DTN
6,2.2,8,16,4,32,MANET
8,1.1,9,4,4,146,DTN
3,1.5,9,32,3,103,DTN
2,2.9,9,64,3,49,MANET
6,1.7,8,4,4,16,MANET
8,2.9,8,8,4,139,DTN
3,2.5,5,32,3,17,MANET
2,2.5,5,32,3,132,DTN
6,1.1,9,4,4,46,MANET
